iter	Passed	Remaining
0	0	84
1	1	73
2	2	70
3	3	74
4	3	74
5	4	71
6	5	69
7	5	66
8	6	66
9	7	64
10	7	64
11	8	64
12	9	65
13	10	64
14	11	62
15	11	61
16	12	60
17	13	62
18	14	61
19	15	60
20	15	60
21	16	60
22	17	59
23	18	58
24	19	57
25	19	56
26	20	55
27	21	54
28	22	53
29	22	53
30	23	52
31	24	51
32	24	50
33	25	48
34	25	47
35	26	47
36	27	46
37	28	46
38	28	45
39	29	44
40	30	43
41	30	41
42	30	40
43	31	40
44	32	39
45	33	39
46	34	38
47	34	37
48	35	36
49	36	36
50	36	35
51	37	34
52	38	33
53	39	33
54	39	32
55	40	31
56	41	31
57	41	30
58	42	29
59	43	28
60	43	28
61	44	27
62	45	26
63	46	26
64	46	25
65	47	24
66	48	23
67	48	22
68	49	22
69	50	21
70	50	20
71	51	20
72	52	19
73	53	18
74	54	18
75	54	17
76	55	16
77	56	15
78	57	15
79	57	14
80	58	13
81	59	13
82	59	12
83	60	11
84	61	10
85	61	10
86	62	9
87	63	8
88	63	7
89	64	7
90	65	6
91	66	5
92	67	5
93	67	4
94	68	3
95	69	2
96	70	2
97	70	1
98	71	0
99	72	0
